nohup: ignoring input

0it [00:00, ?it/s]
1it [00:07,  7.23s/it]
2it [00:12,  5.92s/it]
3it [00:17,  5.78s/it]
4it [00:23,  5.71s/it]
5it [00:31,  6.44s/it]
6it [00:40,  7.39s/it]
7it [00:50,  8.35s/it]
8it [00:53,  6.61s/it]
9it [00:58,  6.07s/it]
10it [01:03,  5.79s/it]
11it [01:06,  5.03s/it]
12it [01:14,  5.64s/it]
13it [01:20,  5.87s/it]
14it [01:26,  5.95s/it]
15it [01:30,  5.31s/it]
16it [01:44,  8.02s/it]
17it [01:49,  6.90s/it]
18it [01:54,  6.50s/it]
19it [02:02,  7.02s/it]
20it [02:12,  7.82s/it]
21it [02:18,  7.36s/it]
22it [02:27,  7.82s/it]
23it [02:32,  7.06s/it]
24it [02:39,  6.90s/it]
25it [02:44,  6.34s/it]
26it [02:53,  7.07s/it]
27it [03:00,  7.00s/it]
28it [03:06,  6.91s/it]
29it [03:11,  6.12s/it]
30it [03:18,  6.49s/it]
31it [03:29,  7.89s/it]
32it [03:37,  7.95s/it]
33it [03:43,  7.35s/it]
34it [03:54,  8.55s/it]
35it [04:04,  8.85s/it]
36it [04:11,  8.14s/it]
37it [04:16,  7.30s/it]
38it [04:20,  6.39s/it]
39it [04:28,  6.76s/it]
40it [04:39,  8.20s/it]
41it [04:43,  6.83s/it]
42it [04:51,  7.06s/it]
43it [05:00,  7.73s/it]
44it [05:03,  6.46s/it]
45it [05:13,  7.35s/it]
46it [05:18,  6.76s/it]
47it [05:24,  6.48s/it]
48it [05:30,  6.45s/it]
49it [05:36,  6.10s/it]
50it [05:39,  5.34s/it]
51it [05:45,  5.61s/it]
52it [05:52,  5.99s/it]
53it [06:00,  6.49s/it]
54it [06:10,  7.43s/it]
55it [06:22,  8.86s/it]
56it [06:26,  7.50s/it]
57it [06:35,  8.02s/it]
58it [06:41,  7.41s/it]
59it [06:48,  7.10s/it]
60it [06:53,  6.53s/it]
61it [06:59,  6.41s/it]
62it [07:37, 15.90s/it]
63it [07:52, 15.58s/it]
64it [07:57, 12.43s/it]
65it [08:04, 10.75s/it]
66it [08:14, 10.55s/it]
67it [08:20,  9.26s/it]
68it [08:26,  8.15s/it]
69it [08:37,  9.10s/it]
70it [08:42,  7.89s/it]
71it [08:47,  6.94s/it]
72it [08:51,  6.25s/it]
73it [09:04,  8.07s/it]
74it [09:08,  7.06s/it]
75it [09:11,  5.76s/it]
76it [09:22,  7.22s/it]
77it [09:25,  6.09s/it]
78it [09:30,  5.56s/it]
79it [09:37,  6.20s/it]
80it [09:43,  6.14s/it]
81it [09:49,  5.91s/it]
82it [09:56,  6.38s/it]
83it [10:06,  7.38s/it]
84it [10:11,  6.74s/it]
85it [10:20,  7.32s/it]
86it [10:25,  6.63s/it]
87it [10:31,  6.39s/it]
88it [10:41,  7.63s/it]
89it [10:47,  7.07s/it]
90it [10:52,  6.37s/it]
91it [10:59,  6.59s/it]
92it [11:06,  6.86s/it]
93it [11:13,  6.78s/it]
94it [11:20,  6.79s/it]
95it [11:27,  6.98s/it]
96it [11:31,  6.17s/it]
97it [11:41,  7.06s/it]
98it [11:49,  7.44s/it]
99it [11:56,  7.30s/it]
100it [12:04,  7.61s/it]
101it [12:11,  7.42s/it]
102it [12:16,  6.77s/it]
103it [12:22,  6.33s/it]
104it [12:28,  6.33s/it]
105it [12:37,  7.19s/it]
106it [12:43,  6.68s/it]
107it [12:50,  6.74s/it]
108it [13:00,  7.84s/it]
109it [13:06,  7.22s/it]
110it [13:12,  7.03s/it]
111it [13:15,  5.64s/it]
112it [13:21,  5.72s/it]
113it [13:30,  6.72s/it]
114it [13:34,  6.02s/it]
115it [13:39,  5.74s/it]
116it [13:44,  5.52s/it]
117it [13:50,  5.64s/it]
118it [13:57,  6.01s/it]
119it [14:02,  5.85s/it]
120it [14:07,  5.49s/it]
121it [14:12,  5.31s/it]
122it [14:17,  5.22s/it]
123it [14:21,  4.82s/it]
124it [14:27,  5.09s/it]
125it [14:36,  6.35s/it]
126it [14:44,  6.76s/it]
127it [14:51,  6.81s/it]
128it [14:54,  5.93s/it]
129it [15:01,  6.03s/it]
130it [15:09,  6.82s/it]
131it [15:16,  6.68s/it]
132it [15:21,  6.33s/it]
133it [15:26,  5.77s/it]
134it [15:41,  8.63s/it]
135it [15:58, 11.27s/it]
136it [16:05,  9.90s/it]
137it [16:13,  9.39s/it]
138it [16:19,  8.18s/it]
139it [16:24,  7.26s/it]
140it [16:32,  7.68s/it]
141it [16:41,  7.86s/it]
142it [16:47,  7.48s/it]
143it [16:55,  7.53s/it]
144it [17:01,  7.06s/it]
145it [17:11,  8.06s/it]
146it [17:18,  7.51s/it]
147it [17:23,  6.76s/it]
148it [17:28,  6.30s/it]
149it [17:33,  5.85s/it]
150it [17:40,  6.31s/it]
151it [17:47,  6.63s/it]
152it [17:51,  5.73s/it]
153it [17:55,  5.31s/it]
154it [18:03,  6.06s/it]
155it [18:08,  5.69s/it]
156it [18:14,  5.90s/it]
157it [18:24,  7.10s/it]
158it [18:29,  6.54s/it]
159it [18:34,  6.01s/it]
160it [18:42,  6.61s/it]
161it [18:50,  6.88s/it]
162it [18:55,  6.52s/it]
163it [19:00,  5.92s/it]
164it [19:05,  5.71s/it]
165it [19:14,  6.55s/it]
166it [19:22,  7.09s/it]
167it [19:28,  6.81s/it]
168it [19:32,  5.89s/it]
169it [19:41,  6.84s/it]
170it [19:51,  7.81s/it]
171it [20:04,  9.32s/it]
172it [20:10,  8.43s/it]
173it [20:18,  8.19s/it]
174it [20:29,  9.06s/it]
175it [20:40,  9.66s/it]
176it [20:45,  8.16s/it]
177it [20:50,  7.41s/it]
178it [21:02,  8.56s/it]
179it [21:10,  8.44s/it]
180it [21:23,  9.96s/it]
181it [21:32,  9.71s/it]
182it [21:38,  8.49s/it]
183it [21:44,  7.58s/it]
